# tiempo, incerteza
28.0451 0.0329
11.2018 0.0149
9.7306 0.0100
9.95705 0.00494
7.3932 0.0165
7.1011 0.0123
9.8781 0.0149
7.51144 0.00338
6.3186 0.0159
7.1046 0.0152
9.7782 0.0150
7.0609 0.0260
5.54744 0.00709
5.75502 0.00895
5.3938 0.0148
5.6293 0.0239
10.5186 0.0246
7.4223 0.0198
9.6524 0.0355
7.0458 0.0332
