# tiempo, incerteza
18.6194 0.0291
9.9149 0.0243
9.32754 0.00788
7.54754 0.00951
7.56974 0.00906
7.4232 0.0120
10.1388 0.0136
7.5447 0.0142
10.0967 0.0113
7.45250 0.00877
10.2394 0.0144
7.4808 0.0120
7.4832 0.0275
5.9381 0.0303
7.6398 0.0280
5.91769 0.00503
9.9246 0.0976
7.5618 0.0119
10.1217 0.0410
7.4988 0.0253
