# tiempo, incerteza
19.1333 0.0194
10.5320 0.0132
9.9147 0.0117
8.14003 0.00891
8.10981 0.00892
7.90004 0.00685
10.6891 0.0410
8.28428 0.00844
10.61307 0.00949
7.91284 0.00731
10.6090 0.0143
7.7731 0.0117
10.30004 0.00756
7.7271 0.0104
10.45356 0.00752
7.69800 0.00896
10.72010 0.00877
8.1126 0.0110
10.6966 0.0138
7.7672 0.0124
7.74243 0.00972
7.8753 0.0156
7.85972 0.00837
